user_id,property_id,interaction_strength,label,city_match,price_similarity,price_in_budget,property_rating_norm,property_review_count_log,user_avg_rating_given,user_booked_count_norm,user_search_city_freq,booked_same_city,price_vs_booked_avg,collaborative_popularity,language_region_match
user_0,prop_48,0.19577845156668253,0,0.0,0.2857142857142857,0.0,0.6,0.8871587529039013,0.9560000000000001,0.1,0.0,0.0,0.319495887737716,0.0,1.0
user_0,prop_12,0.3582418577746246,0,0.5,0.2857142857142857,0.0,0.64,0.9548438076933161,0.9560000000000001,0.1,0.5,0.0,0.319495887737716,0.0,1.0
user_0,prop_45,0.2962253918072873,0,0.0,0.2857142857142857,0.0,0.74,0.9844368669660623,0.9560000000000001,0.1,0.0,0.0,0.319495887737716,0.0,1.0
user_0,prop_44,0.48807931648464425,0,0.0,1.0,1.0,0.54,0.8722094419952944,0.9560000000000001,0.1,0.0,0.0,0.8942659254157201,0.0,1.0
user_0,prop_33,0.5764324165510564,1,0.0,1.0,1.0,0.86,1.0084157787807557,0.9560000000000001,0.1,0.0,0.0,0.8942659254157201,0.0,1.0
user_0,prop_5,0.4472915216721848,0,0.0,0.6666666666666667,0.5,0.8400000000000001,0.8199546729298166,0.9560000000000001,0.1,0.0,0.0,0.7454904047213375,0.0,0.5
user_0,prop_58,0.6200280659450789,1,0.0,1.0,1.0,0.8,0.9676687970244379,0.9560000000000001,0.1,0.0,0.0,0.8942659254157201,0.0,0.5
user_0,prop_68,0.23186280412774118,0,0.0,0.1777777777777778,0.0,0.64,0.9626295218680472,0.9560000000000001,0.1,0.0,0.0,0.19879744125902332,0.0,1.0
user_0,prop_15,0.3330169328426558,0,0.0,0.6666666666666667,0.5,0.74,0.7703694949060205,0.9560000000000001,0.1,0.0,0.0,0.7454904047213375,0.0,1.0
user_0,prop_79,0.24416319523982039,0,0.0,0.36363636363636365,0.0,0.6,0.7509524161184398,0.9560000000000001,0.1,0.0,0.0,0.4066311298480023,0.0,0.5
user_0,prop_10,0.5389722873549763,0,0.5,0.5333333333333333,0.0,0.86,0.38823676709842325,0.9560000000000001,0.1,0.5,1.0,0.5963923237770701,0.0,0.5
user_0,prop_37,0.4820423720560798,0,0.5,0.22857142857142854,0.0,0.9400000000000001,0.8798129963733905,0.9560000000000001,0.1,0.5,1.0,0.2555967101901728,0.05,0.5
user_0,prop_46,0.4288584610012657,0,0.0,0.625,0.75,0.7,0.8199546729298166,0.9560000000000001,0.1,0.0,0.0,0.5589162033848252,0.0,1.0
